transaction_id,merchant_id,category,amount_normalized,raw_amount
tx-000000000,merchant-00205,electronica,0.640148,16003.7
tx-000000001,merchant-01144,ferreteria,0.246402,6160.05
tx-000000002,merchant-04468,ferreteria,0.677346,16933.65
tx-000000003,merchant-00261,alimentos,0.591312,14782.79
tx-000000004,merchant-01906,colmado,0.095508,2387.7
tx-000000005,merchant-04598,ropa,0.602815,15070.37
tx-000000006,merchant-04465,transporte,0.716588,17914.69
tx-000000007,merchant-04828,electronica,0.222,5549.99
tx-000000008,merchant-00054,farmacia,0.809812,20245.29
tx-000000009,merchant-02788,electronica,0.698743,17468.58
tx-000000010,merchant-02758,ferreteria,0.157168,3929.21
tx-000000011,merchant-00793,servicios,0.09456,2364.01
tx-000000012,merchant-04946,electronica,0.847799,21194.98
tx-000000013,merchant-03764,colmado,0.807514,20187.85
tx-000000014,merchant-03101,ferreteria,0.126576,3164.41
tx-000000015,merchant-02963,otros,0.552936,13823.41
tx-000000016,merchant-00570,alimentos,0.193904,4847.6
tx-000000017,merchant-02371,ferreteria,0.661941,16548.52
tx-000000018,merchant-00828,transporte,0.855607,21390.18
tx-000000019,merchant-02989,farmacia,0.279418,6985.44
tx-000000020,merchant-01717,electronica,0.371441,9286.02
tx-000000021,merchant-00585,otros,0.702417,17560.42
tx-000000022,merchant-04376,ropa,0.635708,15892.71
tx-000000023,merchant-03109,electronica,0.165076,4126.89
tx-000000024,merchant-04563,ropa,0.989544,24738.61
tx-000000025,merchant-00459,ropa,0.685245,17131.13
tx-000000026,merchant-02585,transporte,0.822159,20553.97
tx-000000027,merchant-01729,otros,0.269205,6730.13
tx-000000028,merchant-02578,ropa,0.876615,21915.37
tx-000000029,merchant-03242,restaurante,0.656128,16403.19
tx-000000030,merchant-01144,ropa,0.144586,3614.65
tx-000000031,merchant-04416,electronica,0.745499,18637.48
tx-000000032,merchant-03510,otros,0.74752,18687.99
tx-000000033,merchant-01797,farmacia,0.400602,10015.04
tx-000000034,merchant-00745,alimentos,0.510507,12762.68
tx-000000035,merchant-01253,farmacia,0.861381,21534.52
tx-000000036,merchant-03459,otros,0.792495,19812.38
tx-000000037,merchant-03127,otros,0.065401,1635.02
tx-000000038,merchant-04335,electronica,0.996129,24903.23
tx-000000039,merchant-00095,ferreteria,0.971136,24278.41
tx-000000040,merchant-04399,electronica,0.682347,17058.67
